# Java Audiveris 5.11 (Temurin JDK 25) raw STEM_SEEDS candidates.
# Generated by StemSeedsProbe from HEADERS plus StemScaler; the probe
# reflectively calls VerticalsBuilder.retrieveCandidates() and never
# calls checkVerticals(), so these are StickFactory outputs, not seeds.
#
# stemseedinput section digests cover tag/id, position, bounds, weight,
# and every run in Java order. Candidate members retain the compound's
# mixed-orientation order; v/h tags disambiguate the two lag id spaces.
# All floating-point values are Double.toHexString exact encodings.
# Summary digests are FNV-1a-64 over exact record rows plus newline.
#
# Regenerate from the repository root:
#   env -u JAVA_TOOL_OPTIONS JAVA_HOME=/path/to/jdk25/Contents/Home \
#     ./gradlew --no-daemon -q \
#     -I rust/oracle/java/staff-impacts.init.gradle :app:stemSeedsProbe \
#     '-PstemSeedTargets=data/examples/chula.png:1 ...'
stemseedsheet chula.png#1 systems 3
stemseedinput chula.png#1 system 1 profile 1 left 201 right 2327 interline 21 maxStem 4 minCore 32 minSide 0x1.999999999999ap-2 vertical 1321 37f0ff76ff47862d stickers 642 ec0b76655c693264
stemseedcandidate chula.png#1 system 1 ordinal 13 members v1957,v1959,v1962 bounds 1210 579 3 108 weight 217 start 0x1.2ee6beb1b02afp10 0x1.218p9 stop 0x1.2ed628541c1d6p10 0x1.57p9 thickness 0x1.012f684bda12fp1 distance 0x1.17e146f4869d1p-1
stemseedcandidate chula.png#1 system 1 ordinal 14 members v1378,v1379,v1381 bounds 648 352 3 105 weight 233 start 0x1.44ae701db3789p9 0x1.6p8 stop 0x1.44aba9d07cf72p9 0x1.c8p8 thickness 0x1.1c09c09c09c0ap1 distance 0x1.4df725f138ecp-1
stemseedcandidate chula.png#1 system 1 ordinal 15 members v2944,v2945,v2946 bounds 2055 625 3 106 weight 267 start 0x1.010c0f295d944p11 0x1.388p9 stop 0x1.00ed9b5ac1bc2p11 0x1.6dp9 thickness 0x1.426a439f656f2p1 distance 0x1.77c2e6f42d74ap-1
stemseedcandidate chula.png#1 system 1 ordinal 16 members h993,h853,v2134,v2138,v2141,h921,v2142,v2143 bounds 1361 355 4 106 weight 290 start 0x1.54d1368f0a0b5p10 0x1.63p8 stop 0x1.54b3eabc6b3a9p10 0x1.ccp8 thickness 0x1.5e304d4873ecbp1 distance 0x1.9f84b61702144p-1
stemseedcandidate chula.png#1 system 1 ordinal 17 members v3023,v3024,v3025,v3028,v3033,h1236,h1240 bounds 2141 577 3 102 weight 240 start 0x1.0bd6226c34f5ep11 0x1.208p9 stop 0x1.0baedf7c2b98cp11 0x1.53p9 thickness 0x1.2d2d2d2d2d2d3p1 distance 0x1.5ccc114a49eb5p-1
stemseedcandidate chula.png#1 system 1 ordinal 18 members h1016,v3027,v3032 bounds 2141 383 4 100 weight 288 start 0x1.0be85c60fba61p11 0x1.7fp8 stop 0x1.0bd9bf57bfc4fp11 0x1.e2p8 thickness 0x1.70a3d70a3d70ap1 distance 0x1.a9aeef68a555ep-1
stemseedcandidate chula.png#1 system 1 ordinal 19 members h1218,h1230,v1445,v1447,v1448,h1266,h1274,h1282,h1286,v1449 bounds 737 595 3 98 weight 201 start 0x1.71448173e7dbp9 0x1.298p9 stop 0x1.711802bfc84d8p9 0x1.5ap9 thickness 0x1.0687d6343eb1ap1 distance 0x1.37dac3450d5p-1
stemseedcandidate chula.png#1 system 1 ordinal 20 members v1617,v1618,v1619,v1621,v1624,h1169,v1625,v1626 bounds 911 587 3 98 weight 230 start 0x1.c8276df625d98p9 0x1.258p9 stop 0x1.c7ad3b6db957dp9 0x1.56p9 thickness 0x1.2c687d6343eb2p1 distance 0x1.67f2d1901609fp-1
stemseedcandidate chula.png#1 system 1 ordinal 21 members v2891,v2894,v2898,h968,v2899,h995 bounds 1994 382 3 95 weight 251 start 0x1.f2d010737ac76p10 0x1.7ep8 stop 0x1.f2a5e757d17cap10 0x1.dcp8 thickness 0x1.52308158ed231p1 distance 0x1.879f22612dae1p-1
stemseedcandidate chula.png#1 system 1 ordinal 22 members v2021,v2022,v2023 bounds 1258 589 3 99 weight 216 start 0x1.3af1d0ad52588p10 0x1.268p9 stop 0x1.3a91b671d4a93p10 0x1.578p9 thickness 0x1.1745d1745d174p1 distance 0x1.43dbfac1f69b4p-1
